year,category,full_name,show,won,tmdb_actor_id,tmdb_show_id
2025,CAST IN A MOTION PICTURE,Timothée Chalamet,A COMPLETE UNKNOWN,True,,661539
2025,CAST IN A MOTION PICTURE,Edward Norton,A COMPLETE UNKNOWN,True,,661539
2025,CAST IN A MOTION PICTURE,Elle Fanning,A COMPLETE UNKNOWN,True,,661539
2025,CAST IN A MOTION PICTURE,Monica Barbaro,A COMPLETE UNKNOWN,True,,661539
2025,CAST IN A MOTION PICTURE,Boyd Holbrook,A COMPLETE UNKNOWN,True,,661539
2025,CAST IN A MOTION PICTURE,Dan Fogler,A COMPLETE UNKNOWN,True,,661539
2025,ENSEMBLE IN A COMEDY SERIES,Jeremy Allen White,THE BEAR,True,,1388440
2025,ENSEMBLE IN A COMEDY SERIES,Ebon Moss-Bachrach,THE BEAR,True,,1388440
2025,ENSEMBLE IN A COMEDY SERIES,Ayo Edebiri,THE BEAR,True,,1388440
2025,ENSEMBLE IN A COMEDY SERIES,Lionel Boyce,THE BEAR,True,,1388440
2025,ENSEMBLE IN A COMEDY SERIES,Liza Colón-Zayas,THE BEAR,True,,1388440
2025,ENSEMBLE IN A COMEDY SERIES,Abby Elliott,THE BEAR,True,,1388440
2025,ENSEMBLE IN A COMEDY SERIES,Matty Matheson,THE BEAR,True,,1388440
2025,ENSEMBLE IN A DRAMA SERIES,Hiroyuki Sanada,SHŌGUN,True,,1438203
2025,ENSEMBLE IN A DRAMA SERIES,Anna Sawai,SHŌGUN,True,,1438203
2025,ENSEMBLE IN A DRAMA SERIES,Cosmo Jarvis,SHŌGUN,True,,1438203
2025,ENSEMBLE IN A DRAMA SERIES,Tadanobu Asano,SHŌGUN,True,,1438203
2025,ENSEMBLE IN A DRAMA SERIES,Takehiro Hira,SHŌGUN,True,,1438203
2025,ENSEMBLE IN A DRAMA SERIES,Tommy Bastow,SHŌGUN,True,,1438203
2025,ENSEMBLE IN A DRAMA SERIES,Fumi Nikaido,SHŌGUN,True,,1438203
2025,FEMALE ACTOR IN A COMEDY SERIES,JEAN SMART,HACKS,True,5376,1026651
2025,FEMALE ACTOR IN A DRAMA SERIES,ANNA SAWAI,SHŌGUN,True,1434487,1438203
2025,FEMALE ACTOR IN A LEADING ROLE,DEMI MOORE,THE SUBSTANCE,True,3416,933260
2025,FEMALE ACTOR IN A SUPPORTING ROLE,ZOE SALDAÑA,EMILIA PÉREZ,True,8691,974950
2025,FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JODIE FOSTER,TRUE DETECTIVE: NIGHT COUNTRY,True,1038,
2025,MALE ACTOR IN A COMEDY SERIES,JEREMY ALLEN WHITE,THE BEAR,True,206905,1388440
2025,MALE ACTOR IN A DRAMA SERIES,HIROYUKI SANADA,SHŌGUN,True,9195,1438203
